country,year,indicator,value
Qatar,2010,Intermediate consumption of travel agencies and other reservation service activities   (US$ Mn),19.0
Qatar,2010,Gross value added of travel agencies and other reservation service activities   (US$ Mn),194.0
Qatar,2010,Compensation of employees of other reservation service activities   (US$ Mn),34.0
Qatar,2010,Total number of emloyees in all  accommodation   (000),53.736
Qatar,2010,Total number of emloyees in all  accommodation   (000),11.451
Qatar,2010,Accommodation for visitors (hotels and similar establishments)   (000),11.451
Qatar,2010,Other accommodation services   (000),0.0
Qatar,2010,Food and beverage serving activities   (000),24.527
Qatar,2010,Passenger transportation   (000),15962.0
Qatar,2010,Travel agencies and other reservation services activities   (000),2154.0
Qatar,2010,Number of nights for Tourists coming (Intra Tourism) (000) — Gulf Cooperation Council,187.226
Qatar,2010,Number of nights for Tourists coming (Intra Tourism) (000) — Emirates,53.757
Qatar,2010,Number of nights for Tourists coming (Intra Tourism) (000) — Bahrain,20.658
Qatar,2010,Number of nights for Tourists coming (Intra Tourism) (000) — Saudi Arabia,75.589
Qatar,2010,Number of nights for Tourists coming (Intra Tourism) (000) — Oman,12.887
Qatar,2010,Number of nights for Tourists coming (Intra Tourism) (000) — Kuwait,24.335
Oman,2011,Gross fixed capital formation of  monetary indicators   (US$ Mn),20.67294275163103
Oman,2011,Average length of stay   (Night),235.0
Oman,2011,Gross fixed capital formation of accommodation for visitors (hotels and similar establishments)   (US$ Mn),2355.04377059631
Oman,2011,Inbound trips   (%),1000.5421829625169
Oman,2011,With package tour   (%),1354.5015876337932
Oman,2011,With package tour   (%),11753.0
Oman,2011,Without package tour   (%),18654.0
Oman,2011,Outbound trips   (%),43.38484633013852
Oman,2011,Compensation of employees of other reservation service activities   (US$ Mn),239.96556745177648
Oman,2011,Other GCC nationals   (000),9.481
Oman,2011,Outbound tourism expenditure over imports of goods and services   (%),1354.5015876337932
Oman,2011,Outbound tourism expenditure over Balance of Payments current account debits   (%),1354.5015876337932
Oman,2011,Gross travel propensity   (%),1.896154662895833
Oman,2011,8_9_2 Proportion of jobs in sustainable tourism industries out of total tourism jobs   (%),1.0405819926789428
Oman,2011,12_b_1 Number of sustainable tourism strategies or policies and implemented action plans with agreed monitoring and evaluation tools   (%),0.46309909326832666
Saudi Arabia,2011,Inbound Tourism from Middle East  (000) — Middle East,3844.0
Saudi Arabia,2011,Inbound Tourism from Other not classified  (000) — Other Countries,7.0
Oman,2011,Inbound Tourism from Europe  (000) — Aruba,281.2282881915415
Oman,2011,Inbound Tourism from Middle East  (000) — Middle East,0.0
Oman,2011,Inbound Tourism from Other not classified  (000) — Other Countries,5.5663070065600975
Oman,2011,Total number of tourists by main Purpose of Trips   (000),1018.0573628215805
Kuwait,2011,Inbound Tourism from Other not classified  (000) — Other Countries,0.0
Emirates,2011,Total expenditure by type expenditure   (US$ Mn),13206.0
Emirates,2011,Number of rooms in accommodation services by type   (Room),81468.0
Emirates,2011,Number of beds in accommodation services (bed),93238.0
Emirates,2011,Occupancy rate / bed-places   (%),0.51
Bahrain,2011,Total number of inbound visitors (000),0.0
Bahrain,2011,Number of tourists arriving according to groups of countries coming from them,0.0
Bahrain,2011,Total number of tourists by main Purpose of Trips   (000),0.0
Bahrain,2011,Personal   (000),0.0
Bahrain,2011,Total number of tourist by method of arrival   (000),0.0
Bahrain,2011,Expenditure by main purpose of the trip   (US$ Mn),0.0
Bahrain,2011,Total number of local visitors (000),0.0
Bahrain,2011,Total number of tourists by main Purpose of Trips   (000),0.0
Bahrain,2011,Personal   (000),0.0
Bahrain,2011,Total guests   (000),0.0
Bahrain,2011,Overnights   (Night),0.0
Bahrain,2011,Tourism Expenditure   (US$ Mn),0.0
Bahrain,2011,Expenditure by main purpose of the trip   (US$ Mn),0.0
Bahrain,2011,Total number of departing visitors (000),0.0
Bahrain,2011,"Number of departing tourists, according to their departing destinations (000)",0.0
Bahrain,2011,Total number of tourists by main Purpose of Trips   (000),0.0
Bahrain,2011,Total number of tourist by method of arrival   (000),0.0
Bahrain,2011,Total expenditure by type expenditure   (US$ Mn),0.0
Bahrain,2011,Expenditure by main purpose of the trip   (US$ Mn),0.0
Bahrain,2011,Accommodation for visitors (hotels and similar establishments)   (Unit),101.0
Bahrain,2011,Number of rooms in accommodation services by type   (Room),8364.0
Bahrain,2011,Occupancy rate of rooms / apartments in furnished apartments   (%),33.3
Bahrain,2011,Average length of stay   (Night),1.687286036585754
Bahrain,2011,Total number of emloyees in all  accommodation   (000),0.0
Bahrain,2011,Total number of emloyees in all  accommodation   (000),0.0
Saudi Arabia,2011,Total number of inbound visitors (000),15776.047246940965
Saudi Arabia,2011,Total number of tourists   (000),14178.68420803821
Saudi Arabia,2011,Same-day Visitor   (000),1597.363038902755
Saudi Arabia,2011,Number of tourists arriving according to groups of countries coming from them,14179.0
Saudi Arabia,2011,Inbound Tourism from GCC (000) — Gulf Cooperation Council,5701.0
Saudi Arabia,2011,Inbound Tourism Africa  (000) — Africa,667.0
Saudi Arabia,2011,Inbound Tourism from Americas  (000) — America,54.0
Saudi Arabia,2011,Inbound Tourism from  Asia and the Pacific  (000) — Asia and Pacific,3262.0
Saudi Arabia,2011,Inbound Tourism from Europe  (000) — Aruba,644.0
Saudi Arabia,2011,Total number of tourists by main Purpose of Trips   (000),14178.684468612366
Saudi Arabia,2011,Personal   (000),12266.464385456897
Saudi Arabia,2011,"holidays, leisure and recreation   (000)",551.4851431554605
Saudi Arabia,2011,other personal purposes   (000),11714.979242301437
Saudi Arabia,2011,Business and professional   (000),1912.220083155469
Saudi Arabia,2011,Total number of tourist by method of arrival   (000),14178.68420803821
Saudi Arabia,2011,Air   (000),8777.659360921207
Saudi Arabia,2011,Land   (000),5395.9889139746965
Saudi Arabia,2011,Water   (000),5.0359331423084885
Saudi Arabia,2011,Guests   (000),14178.684208038212
Saudi Arabia,2011,Guests in all types of accommodatio   (000),5741.41995330474
Saudi Arabia,2011,Guests in hotels and similar establishments   (000),8437.264254733473
Saudi Arabia,2011,Total expenditure by type expenditure   (US$ Mn),10684.226115848805
Saudi Arabia,2011,Expenditure on tourism & non-tourism products inside the reference economy   (US$ Mn),10684.226115848805
Saudi Arabia,2011,Expenditure by type of tourist   (US$ Mn),10684.226115848805
Saudi Arabia,2011,Expenditure of tourist   (US$ Mn),10621.826115848806
Saudi Arabia,2011,Expenditure of same-day tourist   (US$ Mn),62.4
Saudi Arabia,2011,Expenditure by main purpose of the trip   (US$ Mn),10684.226115848805
Saudi Arabia,2011,Personal   (US$ Mn),9003.358045923675
Saudi Arabia,2011,Business and professional   (US$ Mn),1680.8680699251308
Saudi Arabia,2011,Total number of local visitors (000),29328.927
Saudi Arabia,2011,Total number of tourists   (000),26155.337
Saudi Arabia,2011,Same-day Visitor   (000),3173.59
Saudi Arabia,2011,Total number of tourists by main Purpose of Trips   (000),26155.337
Saudi Arabia,2011,Personal   (000),23680.574
Saudi Arabia,2011,"holidays, leisure and recreation   (000)",10235.321
Saudi Arabia,2011,other personal purposes   (000),13445.253
Saudi Arabia,2011,Business and professional   (000),2474.763
Saudi Arabia,2011,Total number of tourist by method of arrival   (000),26155.337
Saudi Arabia,2011,Overnights   (Night),121988.6922
Saudi Arabia,2011,Tourism Expenditure   (US$ Mn),10502.080920533333
Saudi Arabia,2011,Tourist Trips Expenditure   (US$ Mn),10225.6275872
Saudi Arabia,2011,Same-day Trips Expenditure   (US$ Mn),276.4533333333333
Saudi Arabia,2011,Expenditure by main purpose of the trip   (US$ Mn),10502.080920533333
Saudi Arabia,2011,Personal   (US$ Mn),10242.992761448471
Saudi Arabia,2011,Business and professional   (US$ Mn),259.0881590848613
Saudi Arabia,2011,Total number of departing visitors (000),15864.578608476888
Saudi Arabia,2011,Total number of tourists   (000),15280.49994819312
Saudi Arabia,2011,Same-day Visitor   (000),584.0786602837678
Saudi Arabia,2011,Total number of tourists by main Purpose of Trips   (000),15280.49994819312
Saudi Arabia,2011,Personal   (000),14483.526029031422
Saudi Arabia,2011,"holidays, leisure and recreation   (000)",10823.645798000283
Saudi Arabia,2011,other personal purposes   (000),3659.880231031138
Saudi Arabia,2011,Business and professional   (000),796.9739191616987
Saudi Arabia,2011,Expenditure on tourism & non-tourism products inside the reference economy   (US$ Mn),16229.001189504354
Saudi Arabia,2011,Expenditure by type of tourist   (US$ Mn),16229.001189504355
Saudi Arabia,2011,Expenditure of tourist   (US$ Mn),16159.667856171021
Saudi Arabia,2011,Expenditure of same-day tourist   (US$ Mn),69.33333333333333
Saudi Arabia,2011,Expenditure by main purpose of the trip   (US$ Mn),16229.001189504355
Saudi Arabia,2011,Personal   (US$ Mn),15255.009385305953
Saudi Arabia,2011,Business and professional   (US$ Mn),973.9918041984017
Saudi Arabia,2011,Direct Contribution of Tourism to Employment   (%),0.04405218682760283
Saudi Arabia,2011,Inbound tourism expenditure over GDP   (%),1.3880303327657593
Saudi Arabia,2011,Outbound tourism expenditure over GDP   (%),2.711702062574042
Saudi Arabia,2011,Tourism balance (inbound minus outbound tourism expenditure) over GDP   (%),-1.3000000000000003
Saudi Arabia,2011,"Tourism openness (inbound plus outbound tourism expenditure, over GDP)   (%)",4.1
Saudi Arabia,2011,Tourism coverage (inbound over outbound tourism expenditure)   (%),51.18668278211186
Saudi Arabia,2011,Inbound tourism expenditure over exports of goods   (%),2.5544540774025815
Saudi Arabia,2011,Inbound tourism expenditure over exports of services   (%),81.09676364521594
Saudi Arabia,2011,Inbound tourism expenditure over exports of goods and services   (%),2.4764488096825596
Saudi Arabia,2011,Inbound tourism expenditure over Balance of Payments current account credits   (%),2.35263152925083
Saudi Arabia,2011,Outbound tourism expenditure over imports of goods   (%),15.173303770464008
Saudi Arabia,2011,Outbound tourism expenditure over imports of services   (%),23.33092800805461
Saudi Arabia,2011,Outbound tourism expenditure over imports of goods and services   (%),9.193983143186324
Saudi Arabia,2011,Outbound tourism expenditure over Balance of Payments current account debits   (%),7.6646648152763275
Saudi Arabia,2011,Gross travel propensity   (%),1.6513979350232617
Saudi Arabia,2011,Demand Carrying capacity   (%),1.4268756400218185
Saudi Arabia,2011,12_b_1 Number of sustainable tourism strategies or policies and implemented action plans with agreed monitoring and evaluation tools   (%),7.0
Oman,2011,Total number of inbound visitors (000),1392.7158240031754
Oman,2011,Total number of tourists   (000),1018.0573628215798
Oman,2011,Same-day Visitor   (000),374.65846118159567
Oman,2011,Number of tourists arriving according to groups of countries coming from them,1018.0573628215799
Oman,2011,Inbound Tourism from GCC (000) — Gulf Cooperation Council,683.7905327385149
Oman,2011,Inbound Tourism from UAE  (000) — Emirates,577.2231524833876
Oman,2011,Inbound Tourism from KSA  (000) — Saudi Arabia,49.7795124006359
Oman,2011,Inbound Tourism from  Bahrain  (000) — Bahrain,16.814284895463924
Oman,2011,Inbound Tourism from Qatar  (000) — Qatar,24.774392324534325
Oman,2011,Inbound Tourism from Kuwait  (000) — Kuwait,15.199190634493117
Oman,2011,Inbound Tourism Africa  (000) — Africa,3.6339620871843126
Oman,2011,Inbound Tourism from Americas  (000) — America,18.25633334275928
Oman,2011,Inbound Tourism from  Asia and the Pacific  (000) — Asia and Pacific,25.581939455019725
Oman,2011,Personal   (000),841.8693715887778
Oman,2011,"holidays, leisure and recreation   (000)",368.2535333255536
Oman,2011,other personal purposes   (000),473.6158382632242
Oman,2011,Business and professional   (000),176.1879912328027
Oman,2011,Total number of tourist by method of arrival   (000),1018.0573628215798
Oman,2011,Air   (000),279.7070008043843
Oman,2011,Land   (000),738.3503620171955
Oman,2011,Water   (000),0.0
Oman,2011,Guests   (000),1018.0573628215792
Oman,2011,Guests in all types of accommodatio   (000),555.2351658465591
Oman,2011,Guests in hotels and similar establishments   (000),462.8221969750201
Oman,2011,Overnights   (Night),6495.173830345855
Oman,2011,Overnights in all types of accommodation   (Night),3542.382826935409
Oman,2011,Overnights in hotels and similar establishments   (Night),2952.791003410446
Oman,2011,Total expenditure by type expenditure   (US$ Mn),412.5198853180347
Oman,2011,Expenditure on tourism & non-tourism products inside the reference economy   (US$ Mn),317.55057092887506
Oman,2011,International Passenger transport   (US$ Mn),94.96931438915966
Oman,2011,Expenditure by type of tourist   (US$ Mn),412.5198853180348
Oman,2011,Expenditure by main purpose of the trip   (US$ Mn),412.5198853180348
Oman,2011,Personal   (US$ Mn),355.25948385967155
Oman,2011,Business and professional   (US$ Mn),57.260401458363255
Oman,2011,Total number of tourists   (000),6.379968425692895
Oman,2011,Same-day Visitor   (000),6.379968425692895
Oman,2011,Total number of tourists by main Purpose of Trips   (000),6.92857593350013
Oman,2011,Personal   (000),148.61911805412075
Oman,2011,"holidays, leisure and recreation   (000)",19.514062195951517
Oman,2011,Tourism Expenditure   (US$ Mn),1942.5238852782752
Oman,2011,Total number of departing visitors (000),3340.94104591666
Oman,2011,Total number of tourists   (000),2445.847517395942
Oman,2011,Same-day Visitor   (000),895.0935285207182
Oman,2011,Outbound Tourism from  Asia and the Pacific  (000) — Asia and Pacific,3340.94104591666
Oman,2011,Outbound Tourism from Europe  (000) — Aruba,2445.847517395942
Oman,2011,Outbound Tourism from Middle East  (000) — Middle East,895.0935285207182
Oman,2011,Total expenditure by type expenditure   (US$ Mn),743.3306938128152
Oman,2011,Expenditure on tourism & non-tourism products inside the reference economy   (US$ Mn),573.6526310619596
Oman,2011,International Passenger transport   (US$ Mn),169.67806275085556
Oman,2011,Expenditure by type of tourist   (US$ Mn),743.3306938128152
Oman,2011,Expenditure by main purpose of the trip   (US$ Mn),743.3306938128152
Oman,2011,Total number of tourist establishments   (Unit),235.0
Oman,2011,Accommodation for visitors (hotels and similar establishments)   (Unit),235.0
Oman,2011,Other accommodation services   (Unit),743.3306938128152
Oman,2011,Food and beverage serving activities   (Unit),573.6526310619596
Oman,2011,Passenger transportation   (Unit),169.67806275085556
Oman,2011,Travel agencies and other reservation services activities   (Unit),743.3306938128152
Oman,2011,Output of  monetary indicators   (US$ Mn),2355.04377059631
Oman,2011,Intermediate consumption of  monetary indicators   (US$ Mn),1000.5421829625169
Oman,2011,Gross value added  of  monetary indicators   (US$ Mn),1354.5015876337932
Oman,2011,Number of rooms in accommodation services by type   (Room),11753.0
Oman,2011,Number of beds in accommodation services (bed),18654.0
Oman,2011,Occupancy rate of rooms / apartments in furnished apartments   (%),43.38484633013852
Oman,2011,Occupancy rate / bed-places   (%),235.0
Oman,2011,Output of accommodation for visitors (hotels and similar establishments)   (US$ Mn),398.387864254644
Oman,2011,Intermediate consumption of accommodation for visitors (hotels and similar establishments)   (US$ Mn),158.42229680286752
Oman,2011,Gross value added of accommodation for visitors (hotels and similar establishments)   (US$ Mn),239.96556745177648
Oman,2011,Output of travel agencies and other reservation service activities   (US$ Mn),158.14242607593357
Oman,2011,Intermediate consumption of travel agencies and other reservation service activities   (US$ Mn),67.72051203310996
Oman,2011,Gross value added of travel agencies and other reservation service activities   (US$ Mn),90.4219140428236
Oman,2011,Total number of emloyees in all  accommodation   (000),9.481
Oman,2011,Accommodation for visitors (hotels and similar establishments)   (000),9.481
Oman,2011,Female   (000),158.14242607593357
Oman,2011,Total number of emloyees (Self employed)   (000),67.72051203310996
Oman,2011,Male   (000),90.4219140428236
Oman,2011,Other nationalities other than above   (000),9.481
Oman,2011,Tourism Direct Gross Value Added   (US$ Mn),1354.5015876337932
Oman,2011,Tourism Direct Gross Domestic Product   (US$ Mn),1354.5015876337932
Oman,2011,Direct Contribution of Tourism to GDP   (%),1.896154662895833
Oman,2011,Inbound tourism expenditure over GDP   (%),0.5774828994106163
Oman,2011,Outbound tourism expenditure over GDP   (%),1.0405819926789428
Oman,2011,Tourism balance (inbound minus outbound tourism expenditure) over GDP   (%),0.46309909326832666
Oman,2011,"Tourism openness (inbound plus outbound tourism expenditure, over GDP)   (%)",1.618064892089559
Oman,2011,Tourism coverage (inbound over outbound tourism expenditure)   (%),0.554961457601151
Oman,2011,8_9_1 Tourism direct GDP as a proportion of total GDP and in growth rate   (%),-17.97378431319855
Oman,2011,Inbound tourists (Intra Tourism)  (000) — Gulf Cooperation Council,683.7905327385149
Oman,2011,Inbound tourists (Intra Tourism)  (000) — Emirates,577.2231524833876
Oman,2011,Inbound tourists (Intra Tourism)  (000) — Bahrain,16.814284895463924
Oman,2011,Inbound tourists (Intra Tourism)  (000) — Saudi Arabia,49.7795124006359
Oman,2011,Inbound tourists (Intra Tourism)  (000) — Qatar,24.774392324534325
Oman,2011,Inbound tourists (Intra Tourism)  (000) — Kuwait,15.199190634493117
Oman,2011,Inbound tourists (Intra Tourism)  (000) — Other Countries,334.2668300830649
Oman,2011,Same day visitors coming (Intra Tourism)(000) — Kuwait,-17.97378431319855
Oman,2011,Number of nights for Tourists coming (Intra Tourism) (000) — Emirates,683.7905327385149
Oman,2011,Number of nights for Tourists coming (Intra Tourism) (000) — Bahrain,577.2231524833876
Oman,2011,Number of nights for Tourists coming (Intra Tourism) (000) — Saudi Arabia,16.814284895463924
Oman,2011,Number of nights for Tourists coming (Intra Tourism) (000) — Qatar,49.7795124006359
Oman,2011,Number of nights for Tourists coming (Intra Tourism) (000) — Kuwait,24.774392324534325
Oman,2011,Number of nights for Tourists coming (Intra Tourism) (000) — Other Countries,15.199190634493117
Oman,2011,Expenditure of Inbound tourists(Intra Tourism) (Million$) — Gulf Cooperation Council,334.2668300830649
Oman,2011,Inbound tourists  Mode of Transport (Intra Tourism)  (000) — Emirates,577.2231524833876
Oman,2011,Inbound tourists  Mode of Transport (Intra Tourism)  (000) — Bahrain,16.814284895463924
Oman,2011,Inbound tourists  Mode of Transport (Intra Tourism)  (000) — Saudi Arabia,49.7795124006359
Oman,2011,Inbound tourists  Mode of Transport (Intra Tourism)  (000) — Qatar,24.774392324534325
Oman,2011,Inbound tourists by water(Intra Tourism)  (000) — Qatar,577.2231524833876
Oman,2011,Inbound tourists  Mode of Transport (Intra Tourism)  (000) — Kuwait,15.199190634493117
Oman,2011,Inbound tourists by water(Intra Tourism)  (000) — Kuwait,16.814284895463924
Oman,2011,Inbound tourists  by reason ot the tour (Intra Tourism) (000) — Bahrain,49.7795124006359
Oman,2011,Inbound tourists by Personal reasons (Intra Tourism) (000) — Saudi Arabia,24.774392324534325
Oman,2011,Inbound tourists by Business and professional reason (Intra Tourism)  (000) — Qatar,15.199190634493117
Qatar,2011,Guests   (000),2905.3
Qatar,2011,Guests in hotels and similar establishments   (000),2905.3
Qatar,2011,Overnights   (Night),2684.346
Qatar,2011,Overnights in hotels and similar establishments   (Night),2684.346
Qatar,2011,Total guests   (000),2905.3
Qatar,2011,Guests in hotels and similar establishments   (000),2905.3
Qatar,2011,Overnights   (Night),2684.346
Qatar,2011,Overnights in hotels and similar establishments   (Night),2684.346
Qatar,2011,Number of Establishments   (Unit),74.0
Qatar,2011,Total number of tourist establishments   (Unit),74.0
Qatar,2011,Accommodation for visitors (hotels and similar establishments)   (Unit),74.0
Qatar,2011,Food and beverage serving activities   (Unit),1087.0
Qatar,2011,Passenger transportation   (Unit),304.0
Qatar,2011,Travel agencies and other reservation services activities   (Unit),142.0
Qatar,2011,Number of rooms in accommodation services by type   (Room),8511.0
Qatar,2011,Number of beds in accommodation services (bed),15312.0
Qatar,2011,Output of accommodation for visitors (hotels and similar establishments)   (US$ Mn),800.0
Qatar,2011,Intermediate consumption of accommodation for visitors (hotels and similar establishments)   (US$ Mn),233.0
Qatar,2011,Gross value added of accommodation for visitors (hotels and similar establishments)   (US$ Mn),567.0
